Recommended Response Type,Immediate Operator Guidance,Coordination / Notification,Scene / Evidence Considerations,Escalation / Follow-up
Property / Asset Security Response,"Verify the reported property or asset incident, identify any immediate safety concerns, and initiate the appropriate authorized security response.","Notify the relevant security, property-control, or supervisory authority where required.","Protect the affected area from unnecessary disturbance and preserve available incident details, records, or physical evidence for follow-up.","Document losses or damage, record responsible parties where known, and refer the case for investigation or recovery action as appropriate."
Personnel Safety / Provost Response,"Prioritize the safety of affected personnel, verify the incident circumstances, and initiate an authorized personnel-safety response.","Coordinate with appropriate medical, security, supervisory, or investigative authorities depending on the seriousness of the incident.",Preserve relevant incident information and avoid unnecessary disturbance of material that may be required for investigation.,Escalate High or Critical incidents promptly through the appropriate command or supervisory channel and ensure the case is formally recorded.
Administrative / Investigation Response,"Verify the reported facts, secure relevant documentation or digital records, and initiate the appropriate administrative or investigative process.","Notify the responsible administrative, supervisory, security, or investigative authority as required.","Maintain integrity of records, statements, digital information, and other material relevant to the incident.","Create a traceable case record, assign the matter for review or investigation, and monitor it until appropriate closure."
Controlled Substances / Security Response,"Treat the incident as a controlled-substance and security matter, verify available information, and initiate the appropriate authorized response.","Coordinate with designated security, investigative, medical, or supervisory authorities where required.",Avoid unnecessary handling of suspected substances and preserve relevant material and documentation for authorized examination.,"Record the incident, preserve chain-of-custody information where applicable, and refer the matter for investigation or further authorized action."
Vehicle / Mobility Security Response,"Verify the vehicle or mobility-related incident, identify immediate safety or access concerns, and initiate the appropriate authorized security response.","Coordinate with transport, traffic, security, supervisory, or investigative authorities as appropriate.","Preserve vehicle details, registration information, location information, and other relevant incident evidence.","Record affected vehicles or assets, document movement restrictions where applicable, and refer the incident for investigation or recovery action."
Sensitive Incident / Specialized Response,"Handle the incident with increased sensitivity, restrict unnecessary disclosure, and refer it to appropriately authorized personnel.","Notify only the relevant supervisory, specialist, welfare, medical, security, or investigative authority required for the case.","Protect privacy, maintain confidentiality, and preserve relevant evidence or records using appropriate handling procedures.","Ensure controlled documentation, appropriate specialist referral, and supervised case follow-up."
Weapons / Security Response,"Treat the incident as a significant safety and security matter, prioritize protection of personnel, and initiate the appropriate authorized security response.",Promptly notify the responsible security and supervisory authorities and request specialist assistance where required.,Limit unnecessary access to the affected area and preserve relevant weapons-related evidence for authorized handling and investigation.,"Escalate according to incident priority, create a complete incident record, and refer the matter for appropriate security or investigative follow-up."
Public Order / Discipline Response,"Assess the immediate public-order or disciplinary impact, reduce further disruption, and initiate the appropriate authorized response.","Coordinate with the responsible supervisory, security, administrative, or disciplinary authority.","Record relevant observations, statements, CCTV references, or other information needed for subsequent review.","Document the incident and refer it for administrative, disciplinary, or investigative action where appropriate."
Vulnerable-Person Protection / Specialized Response,Prioritize the immediate safety and welfare of the vulnerable person and minimize unnecessary exposure or distress.,"Notify appropriate welfare, medical, supervisory, protective, or investigative authorities as required.",Protect privacy and preserve relevant information while limiting unnecessary disclosure of sensitive personal details.,"Ensure appropriate safeguarding referral, formal documentation, and supervised follow-up of the case."
Fire / Major Threat Response,"Prioritize life safety, verify the reported fire or major threat, and initiate the appropriate authorized emergency response.","Notify relevant emergency, fire-safety, security, and supervisory authorities without unnecessary delay.",Maintain safe access control around the affected area and preserve relevant information or evidence once immediate safety requirements have been addressed.,"Escalate High or Critical incidents through the appropriate authority, maintain an incident record, and support subsequent investigation and recovery activities."
